"Id","Distance.band","Distance.band.used.for.weighting","Urban.rural","Market","ISP","Technology","LLU","Headline.speed","Download.speed..Mbit.s..24.hrs","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","isp.weights","nat.weights"
"43",1445,"1635-1992","","Urban",3,"Sky","FTTC","Non-LLU",40,34.356,34.6021,34.3669,7.262,7.577,7.275,21.593,0,19.862,0,0.35,0.2,0.349,0.212,14.757,0,14.778,0.001,261.066,243.581,1,0.0312
"44",1448,"1143-1367","","Urban",1,"Plusnet","FTTC","Non-LLU",40,19.1072,19.2243,19.0691,4.517,4.692,4.519,32.196,0,32.559,0,0.452,0.362,0.463,0.479,31.441,0,31.764,0,425.921,471.864,0,NA
"45",1454,"582-763","","Urban",3,"Virgin","Cable","Cable",50,51.7034,54.1825,50.9174,3.05,3.216,3.047,21.02,0,23.176,0,5.104,0.259,5.718,0.397,14.049,0.001,17.204,0,211.45,234.659,1,0.0279
"46",1455,"385-582","0-582","Urban",2,"Plusnet","ADSL","Non-LLU",20,13.2346,14.3557,12.7983,0.999,1.048,0.983,31.682,0,32.101,0.002,0.514,0.467,0.564,1.657,31.543,0,33.348,0.001,472.455,544.673,0.45,NA
"47",1460,"2563-5000","","Rural",3,"Plusnet","FTTC","Non-LLU",80,36.3144,37.8495,36.4896,18.701,19.152,18.657,19.369,0,19.596,0,0.237,0.23,0.253,0.291,19.476,0,19.497,0,263.162,284.343,1,0.0146
"48",1463,"2563-5000","","Urban",3,"Virgin","Cable","Cable",30,32.8915,33.219,32.834,1.959,2.07,1.935,16.293,0.002,16.761,0,1.471,0.243,1.935,0.449,19.656,0.002,20.563,0,312.125,353.189,1,1.2527
"49",1464,"582-763","473-737","Urban",2,"Sky","ADSL","LLU",20,16.8871,17.4716,16.3895,0.994,1.088,1,31.061,0,27.619,0,0.518,0.379,0.72,0.665,18.77,0,18.822,0,594.93,950.951,0.66,0.0759
"50",1465,"2563-5000","","Urban",3,"BT","FTTC","Non-LLU",40,36.8843,37.5379,36.092,9.467,9.729,9.458,16.278,0.001,16.467,0,0.361,0.325,0.369,0.353,14.647,0.001,15.168,0.001,236.882,237.322,1,0.0457
"51",1470,"1992-2563","","Urban",3,"Virgin","Cable","Cable",60,60.7375,62.668,59.6938,3.195,3.458,3.122,16.055,0,19.356,0,4.219,0.156,8.071,0.269,12.944,0.001,15.853,0,262.356,326.48,1,0.1006
"52",1472,"2563-5000","","Urban",1,"Plusnet","FTTC","Non-LLU",80,63.2395,64.6262,62.2041,17.963,18.72,17.659,12.268,0.001,12.535,0,0.297,0.301,0.338,0.411,12.118,0.001,12.421,0,184.813,174.76,0,NA
"53",1474,"0-385","0-473","Urban",1,"TalkTalk","ADSL","LLU",20,14.2799,14.3184,14.3052,0.827,0.883,0.84,25.002,0,25.78,0,1.121,0.515,1.07,0.667,14.966,0,15.366,0,581.594,453.359,0,0.0673
"54",1479,"2563-5000","","Rural",1,"Sky","ADSL","LLU",8,2.0358,2.1372,2.0088,0.737,0.844,0.736,19.318,0.001,18.789,0.002,0.585,0.716,0.576,0.608,12.061,0.001,14.163,0.003,1933.119,1991.092,0,0.032
"55",1480,"1143-1367","","Rural",1,"BT","ADSL","Non-LLU",8,5.8197,6.6948,5.6978,0.417,0.532,0.42,62.92,0.002,61.97,0.01,3.059,1.456,2.113,1.695,54.496,0.002,52.831,0.001,1307.125,1375.366,0,0.0275
"56",1485,"1635-1992","","Urban",3,"TalkTalk","FTTC","Non-LLU",40,32.8936,37.3011,32.793,1.869,1.957,1.858,23.311,0,23.998,0,0.515,0.412,0.57,0.49,NA,NA,NA,NA,374.345,444.122,1,0.0347
"57",1488,"0-385","0-473","Urban",3,"Sky","ADSL","LLU",20,18.6263,20.0562,18.7018,1.153,1.224,1.151,8.192,0,8.057,0,0.516,0.364,0.647,0.409,6.501,0,6.581,0,517.164,495.115,0.77,0.0751
"58",1490,"582-763","","Urban",3,"BT","FTTC","Non-LLU",80,73.3587,74.3418,72.9576,18.133,18.926,18.166,13.386,0,13.437,0,0.291,0.274,0.241,0.279,12.204,0.001,12.156,0,177.715,180.329,1,NA
"59",1491,"1635-1992","","Urban",3,"BT","FTTC","Non-LLU",80,73.4949,74.1963,73.0015,17.133,17.527,17.135,12.833,0,12.91,0,0.378,0.335,0.407,0.466,12.28,0,12.412,0,195.399,184.551,1,0.239
"60",1494,"1143-1367","","Urban",2,"BT","FTTC","Non-LLU",80,55.4457,55.7306,55.2993,18.61,19.021,18.642,16.74,0,16.758,0,0.361,0.388,0.407,0.445,15.865,0.001,15.992,0,230.272,228.13,1,NA
"61",1499,"1635-1992","","Urban",3,"Plusnet","FTTC","Non-LLU",80,67.8788,73.0766,67.0223,17.211,17.65,17.244,17.487,0,17.594,0,0.26,0.261,0.283,0.344,13.578,0.001,13.63,0,184.538,198.889,1,NA
"62",1502,"0-385","0-582","Urban",3,"BT","ADSL","Non-LLU",20,15.2368,15.4218,15.2247,0.919,0.989,0.928,13.662,0.002,13.707,0,0.595,0.412,0.842,0.42,12.229,0,12.331,0,324.498,423.921,0.65,0.0861
