URBAN2,Nation,DL24hrmean,UL24hrmean,Latency24hr,Web24hr
3,Rural,#NULL!,37.16644,0.48909091,0
3,Urban,#NULL!,73.456696,0.18928571,0.01
3,Urban,#NULL!,61.328304,0.31905,0.04
3,Urban,#NULL!,37.422424,0.41565,0
3,Urban,#NULL!,36.917728,0.41184211,0
3,Urban,Distance band 16,10.32036,0.3702,0.03
3,Urban,Distance band 12,7.874408,0.77294444,0.01
3,Urban,#NULL!,37.418,0.3538,0.06
3,Urban,#NULL!,37.111368,0.43338889,0.03
2,Semi-urban,#NULL!,37.238872,0.56110526,0.17
3,Urban,Distance band 9,11.701024,0.31647619,0.05
,Urban,#NULL!,37.15972,0.72770588,0.05
1,Semi-urban,#NULL!,74.30712,0.252,0.46
1,Rural,#NULL!,6.763992,0.6828,0
3,Urban,Distance band 6,11.962496,0.3659375,0.04
1,Rural,#NULL!,1.896288,1.03377778,0.12
1,Rural,Distance band 2,6.860408,1.18033333,0.15
2,Rural,#NULL!,74.316208,0.27235294,0
1,Semi-urban,#NULL!,35.00368,0.82170588,0
,Urban,#NULL!,27.2658,1.10095,0.21
2,Semi-urban,#NULL!,6.662672,1.6359,0.01
2,Rural,#NULL!,40.384928,0.61342857,0.15
3,Urban,#NULL!,55.481992,0.29085714,0
3,Urban,Distance band 7,13.834608,0.37436364,0.03
3,Urban,#NULL!,51.600952,0.42642105,0.15
2,Semi-urban,#NULL!,53.228824,0.49964286,0.02
3,Urban,#NULL!,169.333656,0.39333333,0.07
3,Urban,Distance band 16,6.0108,0.35209091,0.05
2,Urban,Distance band 15,5.536288,0.5526,0.16
1,Semi-urban,#NULL!,28.738456,0.5473125,0.01
1,Semi-urban,#NULL!,40.765568,0.6026875,0.03
3,Urban,#NULL!,107.502984,0.13054545,0
3,Urban,#NULL!,74.32296,0.720125,0
1,Rural,#NULL!,6.90628,0.42873333,0
3,Urban,#NULL!,37.158248,0.28822222,0
3,Urban,#NULL!,37.358744,1.17588889,0.08
3,Rural,Distance band 20,11.75452,0.93218182,0.49
1,Semi-urban,#NULL!,37.158176,0.870625,0.01
3,Rural,#NULL!,29.829352,0.7969,0.01
3,Semi-urban,Distance band 20,2.251032,0.74189474,1.09
2,Semi-urban,#NULL!,74.313784,0.2931,0.02
2,Rural,#NULL!,74.312704,0.4718,0
3,Urban,#NULL!,127.22784,0.83628571,0.01
1,Rural,#NULL!,60.550152,0.225125,0.01
2,Urban,#NULL!,45.741704,0.3549,0.12
1,Rural,#NULL!,65.03368,1.33755,0
3,Urban,#NULL!,37.367504,0.46223529,0.01
3,Urban,#NULL!,20.03528,0.59441176,0.03
2,Semi-urban,Distance band 7,8.31184,0.881375,0.13
2,Semi-urban,#NULL!,37.173368,0.28461538,0
2,Rural,#NULL!,74.276736,0.30236842,0
2,Semi-urban,#NULL!,37.360952,0.30673333,0
1,Rural,#NULL!,37.511072,0.63431579,0
3,Urban,Distance band 19,4.29184,0.46507143,0.06
3,Semi-urban,Distance band 4,16.603912,0.72975,0.08
3,Urban,#NULL!,42.72816,0.45066667,0.01
3,Semi-urban,Distance band 2,8.28804,0.30964286,0.02
3,Rural,#NULL!,74.7424,0.29447368,0
1,Rural,#NULL!,6.861136,0.72136842,0.42
3,Urban,#NULL!,157.730008,0.7835,0.03
3,Urban,#NULL!,37.159696,0.69529412,0.03
3,Urban,#NULL!,37.63532,0.54810526,0.01
3,Rural,Distance band 18,4.513088,0.46746154,0.19
3,Semi-urban,#NULL!,37.17808,0.34371429,0
3,Rural,#NULL!,37.171888,0.3839,0
1,Rural,#NULL!,0.713072,3.671,1.22
1,Rural,#NULL!,2.502,0.71883333,0.1
3,Urban,#NULL!,68.01752,0.40285,0.01
3,Semi-urban,#NULL!,24.797592,0.48311765,0.03
,Semi-urban,#NULL!,106.03608,0.38927778,0
2,Semi-urban,Distance band 5,17.868408,0.76386667,0.02
1,Rural,Distance band 18,6.1382,0.3478,0.05
,Semi-urban,#NULL!,93.93612,0.236875,0.12
2,Semi-urban,#NULL!,143.611688,0.872,0.01
2,Semi-urban,#NULL!,120.99556,1.3124,0.02
2,Semi-urban,#NULL!,37.551008,0.54090476,0
2,Semi-urban,#NULL!,1.925232,0.38852381,0
2,Semi-urban,#NULL!,94.816592,0.95413333,0.02
3,Urban,Distance band 11,4.535104,0.40266667,0.02
3,Urban,#NULL!,74.316104,1.3982,0.02
2,Urban,#NULL!,50.165248,0.74781818,0.63
3,Urban,#NULL!,106.03892,0.272,0.01
2,Rural,#NULL!,37.158448,0.93972727,0.01
2,Semi-urban,Distance band 3,19.131984,0.59644444,0.72
2,Rural,#NULL!,2.03396,0.85022222,1.14
1,Semi-urban,#NULL!,67.78188,0.64172222,0.04
3,Semi-urban,#NULL!,25.458664,0.658,0.06
1,Semi-urban,#NULL!,37.161488,1.24204762,0.05
3,Urban,#NULL!,61.142968,0.38747368,0.1
1,Rural,#NULL!,74.285464,0.49407143,0
3,Urban,#NULL!,37.155824,0.34842105,0.06
3,Rural,#NULL!,56.749368,0.83313333,0
3,Urban,#NULL!,32.330584,0.37355556,0.01
3,Urban,#NULL!,106.438128,0.34057895,0.04
3,Urban,#NULL!,55.726712,0.40941667,0
3,Urban,Distance band 9,7.297696,0.48923077,0.27
3,Urban,#NULL!,207.70572,0.35695238,0.05
3,Urban,#NULL!,50.028552,0.46265,0
3,Urban,#NULL!,68.709904,0.63271429,0.04
3,Urban,#NULL!,37.173632,0.38883333,0.01
3,Urban,#NULL!,106.175728,0.38247368,0
2,Rural,#NULL!,74.197328,0.38235,0.05
2,Semi-urban,#NULL!,72.606048,0.4589375,0.05
3,Urban,#NULL!,24.29736,0.6692381,0.01
3,Urban,#NULL!,37.444496,0.39752381,0
3,Urban,#NULL!,60.636008,0.42177778,0.02
3,Urban,#NULL!,159.578008,1.36205882,1.28
3,Urban,#NULL!,37.354128,0.46357143,0.07
3,Urban,#NULL!,106.418696,0.1952,0.01
3,Urban,#NULL!,206.52192,0.21141176,0.02
3,Urban,#NULL!,37.1748,0.34390476,1
1,Rural,#NULL!,70.44628,0.40955,0.05
3,Urban,#NULL!,61.067808,0.36409524,0.05
3,Urban,#NULL!,69.712592,0.2929,0
3,Urban,#NULL!,23.870088,0.538,0
3,Urban,#NULL!,75.547216,0.49746667,0
3,Urban,#NULL!,27.779352,2.8056,0.55
3,Urban,#NULL!,187.867944,0.16633333,0.14
3,Rural,#NULL!,37.353224,0.48226316,0.28
3,Semi-urban,Distance band 2,16.125848,0.44338095,0
3,Semi-urban,#NULL!,37.15856,0.65970588,0.64
3,Semi-urban,#NULL!,37.533432,0.50928571,0
3,Urban,#NULL!,37.182416,0.33866667,0
3,Urban,Distance band 19,2.351216,0.468,0.3
3,Urban,#NULL!,74.258808,1.36735,0.01
3,Urban,#NULL!,74.22804,0.99452941,0.01
3,Urban,Distance band 11,13.971328,0.33468421,0.14
3,Rural,Distance band 18,4.091432,0.8065625,2.51
,Urban,Distance band 1,5.498888,0.8326,0.06
3,Semi-urban,#NULL!,37.1586,0.8502,0.01
3,Semi-urban,#NULL!,37.160664,1.06344444,0.02
3,Urban,Distance band 13,8.129024,0.46025,0.01
3,Urban,#NULL!,50.115672,0.5314375,0.07
3,Urban,#NULL!,37.220776,1.0181,0.02
3,Urban,#NULL!,68.396848,0.4438125,0.02
3,Semi-urban,#NULL!,37.175776,0.35125,0.37
3,Urban,#NULL!,37.439304,0.40821053,0.12
3,Urban,#NULL!,37.439064,0.29790476,0
3,Urban,#NULL!,51.738144,0.654375,0.02
3,Urban,#NULL!,74.309824,1.26283333,0.01
3,Urban,#NULL!,37.471328,0.38915,0
3,Urban,#NULL!,74.284616,0.8825,0.24
2,Semi-urban,#NULL!,57.872056,0.33816667,0.01
3,Urban,#NULL!,37.383112,0.5216,0.01
3,Urban,#NULL!,202.290184,0.34785,2.52
3,Urban,Distance band 2,13.6948,0.72506667,0.04
3,Urban,#NULL!,208.823376,0.19071429,0
3,Urban,#NULL!,198.209544,0.21945,0
3,Urban,Distance band 2,5.612384,0.72335,0.19
3,Semi-urban,#NULL!,50.436088,0.49761111,0
3,Urban,#NULL!,73.223152,0.3065,0.49
3,Rural,#NULL!,37.360104,0.96104762,0.02
3,Urban,#NULL!,28.938904,0.27485714,0.56
3,Urban,#NULL!,54.120792,1.07925,0
3,Urban,#NULL!,74.316112,0.27104762,0.04
3,Semi-urban,#NULL!,73.85348,0.61742857,0.39
3,Semi-urban,#NULL!,37.361328,0.39870588,0
3,Semi-urban,#NULL!,24.263448,1.715,0.25
3,Semi-urban,#NULL!,67.860088,0.5476875,0.01
3,Urban,#NULL!,74.171944,0.36405556,0.01
3,Urban,#NULL!,43.877088,0.54193333,0.12
3,Urban,#NULL!,36.458888,1.095,0.07
3,Semi-urban,#NULL!,69.964048,0.45644444,0
1,Rural,#NULL!,6.568648,0.7242,0.04
3,Urban,#NULL!,37.187336,0.4970625,0
3,Urban,#NULL!,55.664496,0.68210526,0
3,Urban,#NULL!,58.819016,0.37315,0.04
3,Urban,#NULL!,30.207064,0.41855,0
2,Semi-urban,#NULL!,37.366656,0.30485714,0
1,Semi-urban,#NULL!,60.006624,0.50357143,0.01
3,Semi-urban,#NULL!,37.371728,0.50115789,0
