URBAN2,Nation,DL24hrmax,UL24hrmax,Latency24hr,Web24hr
3,Urban,53.91763803,3.03657217,13.36383028,221.8484557
3,Urban,104.5289694,6.121056604,12.4479503,270.0908274
3,Urban,46.24765815,3.305949261,24.33027504,389.4080881
3,Urban,73.61504149,16.95131586,19.34589322,272.0284679
3,Urban,74.20287755,18.58609391,17.30736312,267.6749714
3,Urban,27.91695209,6.20130662,33.61561506,740.6855621
3,Urban,65.31377316,18.45360585,25.55283688,318.5055336
3,Semi-urban,105.5682794,5.977278926,22.68982101,367.3157317
3,Urban,53.28206147,2.931296981,25.11043261,663.9991691
3,Urban,53.93841778,3.018445949,19.70059259,289.8161197
3,Urban,143.2427624,10.19642614,20.38043381,306.5024703
2,Semi-urban,36.22303143,9.365147811,18.58873994,263.7374467
1,Rural,20.13778795,3.841928858,22.88271983,363.4271727
3,Urban,72.47281309,18.32721664,20.34518712,328.3832132
3,Urban,68.00358127,17.11297071,21.08398141,272.9938202
3,Rural,2.211649463,0.844041143,22.66746924,3075.301739
3,Rural,28.94890773,5.527923704,17.58928775,285.325967
3,Urban,37.04744925,9.21594343,17.57139969,256.5526709
3,Urban,60.65855022,16.73909142,17.58244481,247.4740988
1,Rural,69.23698898,18.57869795,17.45261726,224.1559656
1,Rural,3.300886816,0.425514263,43.17555351,1336.394414
,Urban,36.97394307,9.251357113,18.72168473,242.581421
3,Urban,37.30355024,8.526731117,19.53901762,495.9946158
3,Urban,55.24480428,14.69481338,18.14666475,264.7548612
3,Urban,6.942961449,0.772879831,38.06193687,714.3863354
3,Urban,31.46731371,7.562048366,18.15893438,300.1071817
2,Semi-urban,36.90285902,9.490929375,19.83882403,404.9154518
2,Rural,1.075175558,0.481624451,34.08701891,3579.704321
1,Rural,5.588863614,0.416286791,41.72201188,1504.668485
1,Rural,10.6980725,1.0213442,23.80970984,566.3256771
3,Urban,26.32393473,6.184631765,24.03563811,600.596335
3,Urban,146.2907034,12.17350168,20.90102282,286.3351427
3,Urban,36.00205282,16.86347991,19.61128289,473.5760542
3,Rural,9.37574897,2.049481238,31.76738014,1028.387302
,Rural,1.579979334,0.37987376,46.59432843,4130.080019
3,Rural,8.652803142,0.954455928,41.26613966,844.8586699
3,Urban,20.38485322,6.976384537,18.81466524,631.1222569
