"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"190","Urban",2,16.1583,1.071,NA,19.214,NA
"191","Urban",3,11.0297,1.092,13.928,12.385,821.129
"192","Rural",1,4.0155,0.681,30.287,27.179,1295.268
"193","Urban",3,37.0426,9.491,25.706,10.814,201.667
"194","Rural",3,2.6642,0.705,42.796,31.78,1535.131
"195","Rural",1,4.8048,0.243,82.225,34.788,4334.597
"196","Urban",3,52.4375,3.213,14.815,10.76,309.824
"197","",3,14.3381,0.695,36.557,33.794,759.465
"198","Urban",3,8.1987,0.833,33.828,32.885,892.105
"199","Urban",2,2.0535,0.946,16.177,12.474,1870.033
"200","Urban",3,41.4952,6.914,12.626,11.703,197.009
"201","Urban",3,60.3178,18.624,7.307,5.953,159
"202","Rural",1,4.4734,0.357,22.541,12.958,3075.651
"203","Urban",3,13.1122,1.074,NA,24.36,NA
"204","Urban",3,16.2429,1.045,14.739,6.78,546.258
"205","Urban",3,44.0026,17.514,26.064,24.557,345.172
"206","Urban",3,26.334,2.171,18.226,14.676,322.666
"207","Urban",3,51.8799,13.098,18.184,18.011,244.193
"208","Urban",3,14.0078,0.984,18.21,13.688,678.009
"209","Urban",3,66.8908,17.104,21.821,19.775,273.853
"210","Urban",2,37.088,9.496,21.76,19.623,259.474
"211","Urban",3,4.7167,0.846,29.331,28.271,1149.932
"212","Urban",3,0.6678,0.283,69.238,55.57,5438.934
"213","Urban",2,51.4784,3.116,10.896,12.921,190.789
"214","Urban",3,6.7151,0.971,16.317,15.867,651.47
"215","Rural",1,6.0195,0.349,37.123,34.508,1100.037
"216","Urban",3,37.0287,9.457,14.471,13.732,224.581
"217","Urban",3,62.7482,18.633,19.036,18.143,260.869
"218","Urban",3,72.3061,17.639,22.092,24.406,315.162
"219","Urban",3,16.01,1.054,16.856,16.917,344.215
"220","Urban",3,5.9034,0.353,20.405,20.207,788.549
"221","Urban",3,17.3709,0.876,15.605,20.573,517.616
"222","Urban",3,3.4617,0.685,45.441,31.274,1351.653
"223","Urban",3,46.1374,14.163,21.764,20.426,287.966
"224","Urban",3,8.229,0.831,13.366,10.708,944.398
"225","Rural",1,5.0982,0.38,50.594,49.055,953.876
"226","Rural",3,8.3496,1.083,13.135,10.307,1074.711
"227","Urban",3,15.6507,1.241,34.8,30.418,499.552
"228","Urban",2,12.5395,0.913,31.983,31.546,481.342
"229","Urban",2,1.9567,0.642,38.16,31.332,2121.559
"230","Urban",3,48.3036,16.618,9,8.545,149.249
"231","Urban",3,37.2982,9.498,9.418,11.146,232.022
"232","Urban",3,31.75,7.309,23.104,NA,NA
"233","Urban",3,12.124,0.814,26.712,22.742,650.349
"234","Rural",3,2.386,0.68,18.096,17.559,1504.15
"235","Urban",3,37.2917,9.487,7.464,5.708,209.926
