"ID","Distance.band","Urban.rural","Market","ISP","Headline.speed","Technology","Download.speed..Mbit.s..24.hour","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","ISP.weights","Nat.weights"
"46","1446","582-763","Urban",3,"Orange","20","DSL",16.999,19.515,16.199,1.181,1.386,1.151,22.194,0.002,22.52,0.01,0.558,0.432,0.524,0.463,16.77,"0.320%",16.902,"0.450%",429.427,797.419,0.74,0.47
"47","1452","1635-1992","Urban",3,"Virgin","60","Cable",59.808,62.676,57.209,3.045,3.16,3.039,19.687,0,18.07,0,1.657,0.264,2.062,0.418,13.062,"0.080%",13.917,"0.020%",251.583,259.936,1,NA
"48","1454","582-763","Urban",3,"Virgin","30","Cable",31.147,33.345,30.596,2.002,2.08,1.994,11.187,0.018,10.727,0.009,2.431,0.143,2.528,0.23,8.925,"0.140%",9.142,"0.000%",280.256,161.591,1,0.59
"49","1455","385-582","Urban",2,"BT","20","DSL",13.419,14.029,13.445,1.226,1.326,1.21,35.56,0,35.458,0,0.537,0.381,0.535,0.4,35.711,"0.020%",35.931,"0.000%",553.708,586.363,0.91,0.2
"50","1456","1635-1992","Urban",3,"TalkTalk","20","ADSL2+",6.859,6.973,6.738,0.72,0.785,0.716,26.403,0.001,26.317,0.003,0.791,0.546,0.853,0.644,30.571,"0.360%",30.819,"0.470%",1221.736,1164.831,1.19,1.47
"51","1464","582-763","Urban",2,"Sky","20","ADSL2+",17.237,18.017,16.032,0.926,1.032,0.93,26.403,0,25.739,0,0.7,0.359,NA,NA,18.961,"0.210%",19.085,"0.110%",658.343,525.454,0.62,0.23
"52","1468","582-763","Urban",1,"Plusnet","8","DSL",6.704,6.823,6.667,0.937,1.073,0.942,30.653,0.001,30.66,0.004,0.609,0.483,0.593,0.655,29.418,"0.010%",29.613,"0.020%",720.812,714.944,NA,NA
"53","1470","1992-2563","Urban",3,"Virgin","60","Cable",62.192,63.039,61.357,3.337,3.537,3.345,13.778,0,13.893,0,3.06,0.25,3.825,0.412,12.697,"0.050%",14.085,"0.010%",284.536,231.595,1,0.38
"54","1472","2563-5000","Urban",1,"Sky","20","ADSL2+",4.519,4.765,4.482,1.045,1.13,1.047,20.399,0.001,20.024,0.002,0.5,0.447,0.525,0.504,18.976,"0.220%",19.2,"0.220%",2056.085,2147.635,NA,1.64
"55","1474","0-385","Urban",1,"TalkTalk","20","ADSL2+",13.339,13.442,13.288,0.716,0.782,0.704,30.351,0,30.878,0.002,0.883,0.742,0.95,0.964,21.462,"0.050%",21.908,"0.070%",1260.508,1147.634,NA,NA
"56","1475","1367-1635","Urban",4,"Karoo","20","ADSL2+",5.559,6.339,5.578,0.865,0.919,0.867,33.776,0.007,34.159,0,0.485,0.451,0.514,0.435,34.405,"1.010%",34.256,"0.170%",806.179,833.533,1.46,NA
"57","1477","1143-1367","Urban",3,"Virgin","60","Cable",56.629,62.886,53.831,3.023,3.118,3.053,10.262,0,11.389,0,2.886,0.788,NA,NA,9.45,"0.520%",10.571,"0.000%",166.278,171.002,1,0.38
"58","1479","2563-5000","Rural",1,"Sky","8","ADSL2+",2.297,2.719,2.142,0.702,0.824,0.709,19.91,0.001,31.499,0,0.624,0.652,0.636,0.602,13.663,"0.240%",12.126,"0.160%",2243.847,2522.135,NA,NA
"59","1480","1143-1367","Rural",1,"BT","8","DSL",5.798,6.742,6.023,0.417,0.567,0.439,55.485,0.003,51.714,0,2.438,1.308,2.485,1.508,49.311,"0.210%",49.535,"0.220%",1488.52,1209.635,NA,0.17
"60","1483","1635-1992","Urban",3,"Virgin","60","Cable",61.563,62.674,60.914,3.03,3.193,3.005,17.04,0,16.212,0,2.605,0.223,4.172,0.307,13.06,"0.020%",13.53,"0.010%",253.995,242.046,1,NA
"61","1485","1635-1992","Urban",3,"TalkTalk","20","ADSL2+",5.278,5.703,5.306,0.613,0.7,0.604,37.151,0.001,37.166,0.002,0.687,0.49,0.915,0.628,42.02,"0.080%",42.273,"0.320%",926.861,933.831,1.19,1.47
"62","1486","1367-1635","Urban",3,"Be","20","ADSL2+",5.009,5.413,5.131,1.027,1.111,1.036,27.273,0.001,27.905,0,0.537,0.849,0.605,2.073,23.191,"0.800%",24.393,"0.320%",2212.263,1851.491,1.03,1.01
"63","1488","0-385","Urban",3,"Sky","20","ADSL2+",18.47,18.79,18.413,1.143,1.236,1.143,16.692,0.001,16.486,0,0.501,0.397,0.477,0.399,15.078,"0.520%",15.153,"0.440%",1490.294,1705.596,0.72,0.52
"64","1497","582-763","Urban",3,"Virgin","60","Cable",62.839,63.13,62.8,3.33,3.509,3.32,14.364,0,14.382,0,2.773,0.178,3.219,0.33,14.241,"0.050%",14.821,"0.000%",256.145,275.64,1,NA
"65","1500","582-763","Urban",3,"TalkTalk","20","ADSL2+",15.666,15.875,15.657,0.853,0.908,0.86,24.26,0,24.735,0,0.876,0.489,0.955,0.746,27.701,"0.010%",28.216,"0.000%",494.58,527.047,1.36,0.49
"66","1502","0-385","Urban",3,"BT","20","DSL",17.27,17.965,17.099,0.932,1.003,0.928,18.851,0,18.579,0,0.641,0.375,0.562,0.355,19.726,"0.060%",20.024,"0.000%",375.576,399.778,0.91,0.45
"67","1503","2563-5000","Urban",3,"BT","20","DSL",3.91,4.699,3.899,0.838,1.046,0.85,34.084,0.001,34.557,0.002,0.603,0.371,0.633,0.423,33.837,"0.060%",33.914,"0.080%",1058.588,1099.037,1.54,3.27
